volume,tipo,caratteri
V005,Contenuto,692397
V005,Struttura,30477
V007,Contenuto,97480
V007,Struttura,0
V008,Contenuto,217467
V008,Struttura,16020
V009,Contenuto,188767
V009,Struttura,0
V010,Contenuto,193828
V010,Struttura,0
V011,Contenuto,197790
V011,Struttura,204267
V013,Contenuto,249859
V013,Struttura,522425
V014,Contenuto,178934
V014,Struttura,346176
V016,Contenuto,49588
V016,Struttura,17563
V018,Contenuto,0
V018,Struttura,146279
V019,Contenuto,130503
V019,Struttura,178840
V021,Contenuto,288735
V021,Struttura,298015
