volume,tipo,caratteri
V005,Contenuto-aggressione/scontro,12716
V005,Contenuto-angoscia/delusione,16785
V005,Contenuto-arrivo,
V005,Contenuto-attesa,
V005,Contenuto-compito/missione,
V005,Contenuto-illusione/speranza,
V005,Contenuto-incontro di gruppo,61328
V005,Contenuto-incontro femminile,75098
V005,Contenuto-incontro maschile,101349
V005,Contenuto-iniziativa/piano,
V005,Contenuto-inseguimento/ricerca,
V005,Contenuto-partenza/sparizione,35417
V005,Contenuto-pausa/sospensione,59774
V005,Contenuto-riflessione,
V005,Contenuto-rivelazione,
V005,Contenuto-smarrimento/dubbio,6129
V005,Contenuto-viaggio,5988
V007,Contenuto-aggressione/scontro,
V007,Contenuto-angoscia/delusione,21601
V007,Contenuto-arrivo,
V007,Contenuto-attesa,
V007,Contenuto-compito/missione,
V007,Contenuto-illusione/speranza,7777
V007,Contenuto-incontro di gruppo,24477
V007,Contenuto-incontro femminile,6648
V007,Contenuto-incontro maschile,6047
V007,Contenuto-iniziativa/piano,
V007,Contenuto-inseguimento/ricerca,
V007,Contenuto-partenza/sparizione,
V007,Contenuto-pausa/sospensione,
V007,Contenuto-riflessione,
V007,Contenuto-rivelazione,5252
V007,Contenuto-smarrimento/dubbio,
V007,Contenuto-viaggio,
V008,Contenuto-aggressione/scontro,8614
V008,Contenuto-angoscia/delusione,
V008,Contenuto-arrivo,
V008,Contenuto-attesa,
V008,Contenuto-compito/missione,13316
V008,Contenuto-illusione/speranza,
V008,Contenuto-incontro di gruppo,40300
V008,Contenuto-incontro femminile,21126
V008,Contenuto-incontro maschile,17384
V008,Contenuto-iniziativa/piano,
V008,Contenuto-inseguimento/ricerca,4735
V008,Contenuto-partenza/sparizione,5045
V008,Contenuto-pausa/sospensione,
V008,Contenuto-riflessione,
V008,Contenuto-rivelazione,3106
V008,Contenuto-smarrimento/dubbio,22609
V008,Contenuto-viaggio,7487
V009,Contenuto-aggressione/scontro,18741
V009,Contenuto-angoscia/delusione,
V009,Contenuto-arrivo,284
V009,Contenuto-attesa,
V009,Contenuto-compito/missione,890
V009,Contenuto-illusione/speranza,
V009,Contenuto-incontro di gruppo,2652
V009,Contenuto-incontro femminile,6396
V009,Contenuto-incontro maschile,17373
V009,Contenuto-iniziativa/piano,
V009,Contenuto-inseguimento/ricerca,
V009,Contenuto-partenza/sparizione,
V009,Contenuto-pausa/sospensione,24257
V009,Contenuto-riflessione,38432
V009,Contenuto-rivelazione,
V009,Contenuto-smarrimento/dubbio,
V009,Contenuto-viaggio,564
V010,Contenuto-aggressione/scontro,17751
V010,Contenuto-angoscia/delusione,
V010,Contenuto-arrivo,
V010,Contenuto-attesa,9123
V010,Contenuto-compito/missione,
V010,Contenuto-illusione/speranza,
V010,Contenuto-incontro di gruppo,25477
V010,Contenuto-incontro femminile,13485
V010,Contenuto-incontro maschile,73918
V010,Contenuto-iniziativa/piano,9528
V010,Contenuto-inseguimento/ricerca,
V010,Contenuto-partenza/sparizione,
V010,Contenuto-pausa/sospensione,
V010,Contenuto-riflessione,1435
V010,Contenuto-rivelazione,697
V010,Contenuto-smarrimento/dubbio,
V010,Contenuto-viaggio,5550
V011,Contenuto-aggressione/scontro,
V011,Contenuto-angoscia/delusione,
V011,Contenuto-arrivo,
V011,Contenuto-attesa,
V011,Contenuto-compito/missione,
V011,Contenuto-illusione/speranza,
V011,Contenuto-incontro di gruppo,
V011,Contenuto-incontro femminile,
V011,Contenuto-incontro maschile,
V011,Contenuto-iniziativa/piano,
V011,Contenuto-inseguimento/ricerca,
V011,Contenuto-partenza/sparizione,
V011,Contenuto-pausa/sospensione,
V011,Contenuto-riflessione,
V011,Contenuto-rivelazione,
V011,Contenuto-smarrimento/dubbio,
V011,Contenuto-viaggio,
V013,Contenuto-aggressione/scontro,
V013,Contenuto-angoscia/delusione,
V013,Contenuto-arrivo,
V013,Contenuto-attesa,
V013,Contenuto-compito/missione,
V013,Contenuto-illusione/speranza,
V013,Contenuto-incontro di gruppo,
V013,Contenuto-incontro femminile,
V013,Contenuto-incontro maschile,
V013,Contenuto-iniziativa/piano,
V013,Contenuto-inseguimento/ricerca,
V013,Contenuto-partenza/sparizione,
V013,Contenuto-pausa/sospensione,
V013,Contenuto-riflessione,
V013,Contenuto-rivelazione,
V013,Contenuto-smarrimento/dubbio,
V013,Contenuto-viaggio,
V014,Contenuto-aggressione/scontro,
V014,Contenuto-angoscia/delusione,
V014,Contenuto-arrivo,
V014,Contenuto-attesa,
V014,Contenuto-compito/missione,
V014,Contenuto-illusione/speranza,
V014,Contenuto-incontro di gruppo,
V014,Contenuto-incontro femminile,
V014,Contenuto-incontro maschile,
V014,Contenuto-iniziativa/piano,
V014,Contenuto-inseguimento/ricerca,
V014,Contenuto-partenza/sparizione,
V014,Contenuto-pausa/sospensione,
V014,Contenuto-riflessione,
V014,Contenuto-rivelazione,
V014,Contenuto-smarrimento/dubbio,
V014,Contenuto-viaggio,
V016,Contenuto-aggressione/scontro,
V016,Contenuto-angoscia/delusione,
V016,Contenuto-arrivo,
V016,Contenuto-attesa,
V016,Contenuto-compito/missione,
V016,Contenuto-illusione/speranza,
V016,Contenuto-incontro di gruppo,
V016,Contenuto-incontro femminile,
V016,Contenuto-incontro maschile,
V016,Contenuto-iniziativa/piano,
V016,Contenuto-inseguimento/ricerca,
V016,Contenuto-partenza/sparizione,
V016,Contenuto-pausa/sospensione,
V016,Contenuto-riflessione,
V016,Contenuto-rivelazione,
V016,Contenuto-smarrimento/dubbio,
V016,Contenuto-viaggio,
V018,Contenuto-aggressione/scontro,
V018,Contenuto-angoscia/delusione,
V018,Contenuto-arrivo,
V018,Contenuto-attesa,
V018,Contenuto-compito/missione,
V018,Contenuto-illusione/speranza,
V018,Contenuto-incontro di gruppo,
V018,Contenuto-incontro femminile,
V018,Contenuto-incontro maschile,
V018,Contenuto-iniziativa/piano,
V018,Contenuto-inseguimento/ricerca,
V018,Contenuto-partenza/sparizione,
V018,Contenuto-pausa/sospensione,
V018,Contenuto-riflessione,
V018,Contenuto-rivelazione,
